ticker,company,sector,price,recommendation,conviction_score,technical_score,fundamental_score,quality_score,risk_score,volume_score,pattern_score,ml_score,premarket_score,options_score,news_score,rotation_score,volatility_score,insider_score,institutional_score,social_score,macro_score,congressional_score,ml_probability,holding_period_days,exit_strategy,exit_plan,entry_price,stop_loss_price,target_price,exit_review_days,technical_drivers,risk_reward_ratio,pattern_signals,unusual_volume_ratio,pre_market_change_pct,pre_market_volume,forecast_volatility,key_catalysts
AVGO,Broadcom Inc.,Technology,334.5299987792969,BUY,65.82,85.0,46.0,78.0,45.0,50.0,74.0,55.2,50,50.0,50.0,50.0,50,50.0,50,50.0,60,50,0.5261,8,Enter near $334.53; place stop around $310.11 (2×ATR); target about $371.17 (3×ATR); reassess after 8 days.,Enter near $334.53; place stop around $310.11 (2×ATR); target about $371.17 (3×ATR); reassess after 8 days.,334.53,310.11,371.17,8,"RSI 44; Price above 50-day trend; Golden cross bias (50d > 200d); 1M +8.4% momentum; 3M +21.4% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 53%",2.0,"Double Bottom, Cup & Handle",0.5,,,0.445,"Double Bottom, Cup & Handle"
BR,"Broadridge Financial Solutions,",Technology,236.0,BUY,65.44,87.0,50.0,58.0,75.0,50.0,50.0,43.6,50,50.0,50.0,50.0,70,50.0,50,50.0,60,50,0.4679,9,Enter near $236.00; place stop around $228.19 (2×ATR); target about $247.72 (3×ATR); reassess after 9 days.,Enter near $236.00; place stop around $228.19 (2×ATR); target about $247.72 (3×ATR); reassess after 9 days.,236.0,228.19,247.72,9,"RSI 20 (oversold rebound); Price below 50-day trend; Golden cross bias (50d > 200d); 1M -8.2% pullback; Patterns: Double Top, Cup & Handle; ML upside odds 47%",2.0,"Double Top, Cup & Handle",0.9,,,0.17,"Double Top, Cup & Handle"
CBRE,CBRE Group Inc,Real Estate,158.0,BUY,65.16,85.0,40.0,60.0,65.0,50.0,74.0,50.1,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.5004,9,Enter near $158.00; place stop around $151.72 (2×ATR); target about $167.42 (3×ATR); reassess after 9 days.,Enter near $158.00; place stop around $151.72 (2×ATR); target about $167.42 (3×ATR); reassess after 9 days.,158.0,151.72,167.42,9,"RSI 40; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +12.8% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 50%",2.0,"Double Bottom, Cup & Handle",0.9,,,0.239,"Double Bottom, Cup & Handle"
ANET,"Arista Networks, Inc.",Technology,142.5,BUY,64.64,85.0,40.0,78.0,35.0,50.0,74.0,56.2,50,50.0,50.0,50.0,50,50.0,50,50.0,60,50,0.5311,7,Enter near $142.50; place stop around $131.10 (2×ATR); target about $159.60 (3×ATR); reassess after 7 days.,Enter near $142.50; place stop around $131.10 (2×ATR); target about $159.60 (3×ATR); reassess after 7 days.,142.5,131.1,159.6,7,"RSI 52; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +39.3% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 53%",2.0,"Double Bottom, Cup & Handle",0.5,,,0.482,"Double Bottom, Cup & Handle"
ADSK,"Autodesk, Inc.",Technology,322.8800048828125,BUY,64.5,85.0,40.0,78.0,55.0,50.0,74.0,43.4,50,50.0,50.0,50.0,50,50.0,50,50.0,60,50,0.4669,21,Enter near $322.88; place stop around $313.45 (2×ATR); target about $337.02 (3×ATR); reassess after 21 days.,Enter near $322.88; place stop around $313.45 (2×ATR); target about $337.02 (3×ATR); reassess after 21 days.,322.88,313.45,337.02,21,"RSI 43; Price above 50-day trend; Golden cross bias (50d > 200d); 1M +11.9% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 47%",2.0,"Double Bottom, Cup & Handle",0.49,,,0.262,"Double Bottom, Cup & Handle"
ADM,Archer-Daniels-Midland Company,Consumer Defensive,60.599998474121094,BUY,64.5,81.0,50.0,42.0,70.0,50.0,74.0,50.7,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.5035,9,Enter near $60.60; place stop around $57.46 (2×ATR); target about $65.31 (3×ATR); reassess after 9 days.,Enter near $60.60; place stop around $57.46 (2×ATR); target about $65.31 (3×ATR); reassess after 9 days.,60.6,57.46,65.31,9,"RSI 42; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +14.8% momentum; Volume 1.6× normal; Patterns: Double Bottom, Cup & Handle; ML upside odds 50%",2.0,"Double Bottom, Cup & Handle",1.57,,,0.244,"Double Bottom, Cup & Handle"
CBOE,"Cboe Global Markets, Inc.",Financial Services,243.52000427246094,BUY,64.31,62.0,50.0,78.0,80.0,50.0,74.0,42.9,50,50.0,50.0,50.0,70,50.0,50,50.0,55,50,0.4645,10,Enter near $243.52; place stop around $234.45 (2×ATR); target about $257.13 (3×ATR); reassess after 10 days.,Enter near $243.52; place stop around $234.45 (2×ATR); target about $257.13 (3×ATR); reassess after 10 days.,243.52,234.45,257.13,10,"RSI 67 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Bottom, Cup & Handle; ML upside odds 46%",2.0,"Double Bottom, Cup & Handle",0.74,,,0.178,"Double Bottom, Cup & Handle"
COR,"Cencora, Inc.",Healthcare,307.0,BUY,64.24,81.0,50.0,58.0,80.0,50.0,62.0,45.3,50,50.0,50.0,50.0,50,50.0,50,50.0,50,50,0.4765,9,Enter near $307.00; place stop around $290.74 (2×ATR); target about $331.39 (3×ATR); reassess after 9 days.,Enter near $307.00; place stop around $290.74 (2×ATR); target about $331.39 (3×ATR); reassess after 9 days.,307.0,290.74,331.39,9,RSI 57; Price above 50-day trend; Golden cross bias (50d > 200d); 1M +5.9% momentum; Patterns: Double Bottom; ML upside odds 48%,2.0,Double Bottom,0.87,,,0.31,Double Bottom
ATO,Atmos Energy Corporation,Utilities,168.4499969482422,BUY,64.23,66.0,50.0,70.0,80.0,50.0,74.0,44.0,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.4698,10,Enter near $168.45; place stop around $163.67 (2×ATR); target about $175.62 (3×ATR); reassess after 10 days.,Enter near $168.45; place stop around $163.67 (2×ATR); target about $175.62 (3×ATR); reassess after 10 days.,168.45,163.67,175.62,10,"RSI 66 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 3M +9.3% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 47%",2.0,"Double Bottom, Cup & Handle",0.82,,,0.149,"Double Bottom, Cup & Handle"
ADI,"Analog Devices, Inc.",Technology,247.55999755859375,BUY,64.19,77.0,40.0,70.0,65.0,45.0,74.0,45.6,50,50.0,50.0,50.0,70,50.0,50,50.0,60,50,0.4779,9,Enter near $247.56; place stop around $238.45 (2×ATR); target about $261.23 (3×ATR); reassess after 9 days.,Enter near $247.56; place stop around $238.45 (2×ATR); target about $261.23 (3×ATR); reassess after 9 days.,247.56,238.45,261.23,9,"RSI 47; Price above 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.97,,,0.193,"Double Bottom, Cup & Handle"
BSX,Boston Scientific Corporation,Healthcare,98.18000030517578,BUY,64.16,87.0,40.0,60.0,80.0,50.0,50.0,40.3,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.4517,9,Enter near $98.18; place stop around $93.80 (2×ATR); target about $104.75 (3×ATR); reassess after 9 days.,Enter near $98.18; place stop around $93.80 (2×ATR); target about $104.75 (3×ATR); reassess after 9 days.,98.18,93.8,104.75,9,"RSI 9 (oversold rebound); Price below 50-day trend; Golden cross bias (50d > 200d); 1M -7.2% pullback; 3M -8.6% pullback; Patterns: Double Top, Cup & Handle; ML upside odds 45%",2.0,"Double Top, Cup & Handle",0.8,,,0.165,"Double Top, Cup & Handle"
BRK-B,Berkshire Hathaway Inc. New,Financial Services,500.0299987792969,BUY,64.12,63.0,66.0,52.0,80.0,50.0,74.0,44.0,50,50.0,50.0,50.0,70,50.0,50,50.0,55,50,0.47,10,Enter near $500.03; place stop around $488.68 (2×ATR); target about $517.06 (3×ATR); reassess after 10 days.,Enter near $500.03; place stop around $488.68 (2×ATR); target about $517.06 (3×ATR); reassess after 10 days.,500.03,488.68,517.06,10,"RSI 59; Price above 50-day trend; Long-term trend weak (50d < 200d); Patterns: Double Bottom, Cup & Handle; ML upside odds 47%",2.0,"Double Bottom, Cup & Handle",0.89,,,0.121,"Double Bottom, Cup & Handle"
LNT,Alliant Energy Corporation,Utilities,66.06999969482422,BUY,64.11,62.0,60.0,60.0,80.0,55.0,74.0,43.6,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.4681,10,Enter near $66.07; place stop around $64.45 (2×ATR); target about $68.51 (3×ATR); reassess after 10 days.,Enter near $66.07; place stop around $64.45 (2×ATR); target about $68.51 (3×ATR); reassess after 10 days.,66.07,64.45,68.51,10,"RSI 69 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 3M +9.3% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 47%",2.0,"Double Bottom, Cup & Handle",1.05,,,0.133,"Double Bottom, Cup & Handle"
CCL,Carnival Corporation,Consumer Cyclical,30.6200008392334,BUY,63.95,81.0,60.0,58.0,49.0,55.0,74.0,44.7,50,50.0,50.0,50.0,50,50.0,50,50.0,50,50,0.4737,8,Enter near $30.62; place stop around $28.81 (2×ATR); target about $33.33 (3×ATR); reassess after 8 days.,Enter near $30.62; place stop around $28.81 (2×ATR); target about $33.33 (3×ATR); reassess after 8 days.,30.62,28.81,33.33,8,"RSI 40; Price above 50-day trend; Golden cross bias (50d > 200d); 1M -5.8% pullback; 3M +8.9% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 47%",2.0,"Double Bottom, Cup & Handle",1.22,,,0.278,"Double Bottom, Cup & Handle"
GOOG,Alphabet Inc.,Unknown,247.17999267578125,BUY,63.8,74.0,56.0,50.0,65.0,50.0,74.0,55.1,50,50.0,50.0,50.0,50,50.0,50,50.0,50,50,0.5254,21,Enter near $247.18; place stop around $236.48 (2×ATR); target about $263.23 (3×ATR); reassess after 21 days.,Enter near $247.18; place stop around $236.48 (2×ATR); target about $263.23 (3×ATR); reassess after 21 days.,247.18,236.48,263.23,21,"RSI 69 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 1M +16.4% momentum; 3M +39.3% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 53%",2.0,"Double Bottom, Cup & Handle",0.65,,,0.29,"Double Bottom, Cup & Handle"
T,AT&T Inc.,Unknown,28.309999465942383,BUY,63.73,72.0,66.0,50.0,75.0,50.0,50.0,44.7,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.4733,10,Enter near $28.31; place stop around $27.45 (2×ATR); target about $29.60 (3×ATR); reassess after 10 days.,Enter near $28.31; place stop around $27.45 (2×ATR); target about $29.60 (3×ATR); reassess after 10 days.,28.31,27.45,29.6,10,"RSI 40; Price below 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Top, Cup & Handle; ML upside odds 47%",2.0,"Double Top, Cup & Handle",0.84,,,0.159,"Double Top, Cup & Handle"
BK,The Bank of New York Mellon Cor,Financial Services,109.52999877929688,BUY,63.64,60.0,60.0,60.0,75.0,50.0,74.0,46.6,50,50.0,50.0,50.0,70,50.0,50,50.0,55,50,0.483,10,Enter near $109.53; place stop around $105.62 (2×ATR); target about $115.40 (3×ATR); reassess after 10 days.,Enter near $109.53; place stop around $105.62 (2×ATR); target about $115.40 (3×ATR); reassess after 10 days.,109.53,105.62,115.4,10,"RSI 73 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 3M +20.2% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.68,,,0.144,"Double Bottom, Cup & Handle"
BAC,Bank of America Corporation,Financial Services,52.209999084472656,BUY,63.59,60.0,66.0,60.0,65.0,50.0,74.0,47.0,50,50.0,50.0,50.0,70,50.0,50,50.0,55,50,0.4848,10,Enter near $52.21; place stop around $50.54 (2×ATR); target about $54.71 (3×ATR); reassess after 10 days.,Enter near $52.21; place stop around $50.54 (2×ATR); target about $54.71 (3×ATR); reassess after 10 days.,52.21,50.54,54.71,10,"RSI 80 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 3M +10.3% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.55,,,0.155,"Double Bottom, Cup & Handle"
AME,"AMETEK, Inc.",Industrials,186.3800048828125,BUY,63.58,73.0,50.0,60.0,65.0,50.0,74.0,44.6,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.473,10,Enter near $186.38; place stop around $180.43 (2×ATR); target about $195.31 (3×ATR); reassess after 10 days.,Enter near $186.38; place stop around $180.43 (2×ATR); target about $195.31 (3×ATR); reassess after 10 days.,186.38,180.43,195.31,10,"RSI 45; Price above 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Bottom, Cup & Handle; ML upside odds 47%",2.0,"Double Bottom, Cup & Handle",0.71,,,0.166,"Double Bottom, Cup & Handle"
AOS,A.O. Smith Corporation,Unknown,72.44999694824219,BUY,63.54,75.0,60.0,50.0,65.0,45.0,74.0,42.9,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.4643,9,Enter near $72.45; place stop around $69.63 (2×ATR); target about $76.68 (3×ATR); reassess after 9 days.,Enter near $72.45; place stop around $69.63 (2×ATR); target about $76.68 (3×ATR); reassess after 9 days.,72.45,69.63,76.68,9,"RSI 43; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +10.5% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 46%",2.0,"Double Bottom, Cup & Handle",0.6,,,0.209,"Double Bottom, Cup & Handle"
COF,Capital One Financial Corporati,Financial Services,224.0500030517578,BUY,63.17,81.0,40.0,42.0,65.0,50.0,74.0,49.2,50,50.0,50.0,50.0,70,50.0,50,50.0,55,50,0.4958,9,Enter near $224.05; place stop around $214.94 (2×ATR); target about $237.72 (3×ATR); reassess after 9 days.,Enter near $224.05; place stop around $214.94 (2×ATR); target about $237.72 (3×ATR); reassess after 9 days.,224.05,214.94,237.72,9,"RSI 57; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +5.3% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 50%",2.0,"Double Bottom, Cup & Handle",0.81,,,0.212,"Double Bottom, Cup & Handle"
AXP,American Express Company,Financial Services,341.67999267578125,BUY,62.89,56.0,56.0,68.0,65.0,50.0,74.0,49.5,50,50.0,50.0,50.0,70,50.0,50,50.0,55,50,0.4976,10,Enter near $341.68; place stop around $329.01 (2×ATR); target about $360.69 (3×ATR); reassess after 10 days.,Enter near $341.68; place stop around $329.01 (2×ATR); target about $360.69 (3×ATR); reassess after 10 days.,341.68,329.01,360.69,10,"RSI 75 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 3M +7.1% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 50%",2.0,"Double Bottom, Cup & Handle",0.6,,,0.188,"Double Bottom, Cup & Handle"
BLK,"BlackRock, Inc.",Financial Services,1156.449951171875,BUY,62.85,60.0,50.0,70.0,65.0,50.0,74.0,47.5,50,50.0,50.0,50.0,70,50.0,50,50.0,55,50,0.4875,9,Enter near $1156.45; place stop around $1118.25 (2×ATR); target about $1213.75 (3×ATR); reassess after 9 days.,Enter near $1156.45; place stop around $1118.25 (2×ATR); target about $1213.75 (3×ATR); reassess after 9 days.,1156.45,1118.25,1213.75,9,"RSI 71 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 3M +10.2% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 49%",2.0,"Double Bottom, Cup & Handle",0.83,,,0.172,"Double Bottom, Cup & Handle"
CVX,Chevron Corporation,Energy,160.16000366210938,BUY,62.84,66.0,66.0,42.0,65.0,50.0,74.0,46.4,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.4822,10,Enter near $160.16; place stop around $154.96 (2×ATR); target about $167.96 (3×ATR); reassess after 10 days.,Enter near $160.16; place stop around $154.96 (2×ATR); target about $167.96 (3×ATR); reassess after 10 days.,160.16,154.96,167.96,10,"RSI 67 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 3M +11.9% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.91,,,0.174,"Double Bottom, Cup & Handle"
APD,"Air Products and Chemicals, Inc",Basic Materials,266.7799987792969,BUY,62.53,69.0,50.0,50.0,65.0,55.0,50.0,54.9,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.5245,9,Enter near $266.78; place stop around $253.49 (2×ATR); target about $286.72 (3×ATR); reassess after 9 days.,Enter near $266.78; place stop around $253.49 (2×ATR); target about $286.72 (3×ATR); reassess after 9 days.,266.78,253.49,286.72,9,"RSI 29 (oversold rebound); Price below 50-day trend; Long-term trend weak (50d < 200d); 1M -9.6% pullback; 3M -5.4% pullback; Patterns: Double Top, Cup & Handle; ML upside odds 52%",2.0,"Double Top, Cup & Handle",1.26,,,0.226,"Double Top, Cup & Handle"
CAH,"Cardinal Health, Inc.",Healthcare,153.7100067138672,BUY,62.49,81.0,50.0,50.0,80.0,50.0,38.0,46.1,50,50.0,50.0,50.0,50,50.0,50,50.0,50,50,0.4806,9,Enter near $153.71; place stop around $146.48 (2×ATR); target about $164.55 (3×ATR); reassess after 9 days.,Enter near $153.71; place stop around $146.48 (2×ATR); target about $164.55 (3×ATR); reassess after 9 days.,153.71,146.48,164.55,9,RSI 55; Price above 50-day trend; Golden cross bias (50d > 200d); 3M -8.5% pullback; Patterns: Double Top; ML upside odds 48%,2.0,Double Top,0.77,,,0.318,Double Top
ALL,Allstate Corporation (The),Financial Services,212.75999450683594,BUY,62.45,52.0,60.0,58.0,80.0,50.0,74.0,45.7,50,50.0,50.0,50.0,70,50.0,50,50.0,55,50,0.4786,9,Enter near $212.76; place stop around $205.77 (2×ATR); target about $223.25 (3×ATR); reassess after 9 days.,Enter near $212.76; place stop around $205.77 (2×ATR); target about $223.25 (3×ATR); reassess after 9 days.,212.76,205.77,223.25,9,"RSI 75 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 3M +5.7% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.8,,,0.233,"Double Bottom, Cup & Handle"
XYZ,"Block, Inc.",Technology,73.66999816894531,BUY,62.44,76.0,60.0,42.0,39.0,55.0,74.0,52.0,50,50.0,50.0,50.0,50,50.0,50,50.0,60,50,0.51,7,Enter near $73.67; place stop around $68.75 (2×ATR); target about $81.04 (3×ATR); reassess after 7 days.,Enter near $73.67; place stop around $68.75 (2×ATR); target about $81.04 (3×ATR); reassess after 7 days.,73.67,68.75,81.04,7,"RSI 42; Price below 50-day trend; Golden cross bias (50d > 200d); 1M -8.8% pullback; 3M +8.4% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 51%",2.0,"Double Bottom, Cup & Handle",1.12,,,0.323,"Double Bottom, Cup & Handle"
CAT,"Caterpillar, Inc.",Industrials,465.760009765625,BUY,62.18,60.0,56.0,50.0,65.0,50.0,74.0,51.9,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.5094,10,Enter near $465.76; place stop around $445.36 (2×ATR); target about $496.36 (3×ATR); reassess after 10 days.,Enter near $465.76; place stop around $445.36 (2×ATR); target about $496.36 (3×ATR); reassess after 10 days.,465.76,445.36,496.36,10,"RSI 81 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 1M +7.1% momentum; 3M +20.0% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 51%",2.0,"Double Bottom, Cup & Handle",0.84,,,0.227,"Double Bottom, Cup & Handle"
BA,Boeing Company (The),Industrials,221.25999450683594,BUY,62.12,76.0,50.0,60.0,65.0,59.5,50.0,41.2,50,50.0,50.0,50.0,50,50.0,50,50.0,50,50,0.4561,9,Enter near $221.26; place stop around $210.97 (2×ATR); target about $236.70 (3×ATR); reassess after 9 days.,Enter near $221.26; place stop around $210.97 (2×ATR); target about $236.70 (3×ATR); reassess after 9 days.,221.26,210.97,236.7,9,"RSI 36; Price below 50-day trend; Golden cross bias (50d > 200d); 1M -6.3% pullback; 3M +5.6% momentum; Volume 2.2× normal; Patterns: Double Top, Cup & Handle; ML upside odds 46%",2.0,"Double Top, Cup & Handle",2.2,,,0.263,"Unusual volume surge; Double Top, Cup & Handle"
