ticker,company,sector,price,recommendation,conviction_score,technical_score,fundamental_score,quality_score,risk_score,volume_score,pattern_score,ml_score,premarket_score,options_score,news_score,rotation_score,volatility_score,insider_score,institutional_score,social_score,macro_score,congressional_score,ml_probability,holding_period_days,exit_strategy,exit_plan,entry_price,stop_loss_price,target_price,exit_review_days,technical_drivers,risk_reward_ratio,pattern_signals,unusual_volume_ratio,pre_market_change_pct,pre_market_volume,forecast_volatility,key_catalysts
TROW,"T. Rowe Price Group, Inc.",Financial Services,103.47000122070312,BUY,66.42,87.0,60.0,60.0,59.0,45.0,74.0,46.0,50,50.0,50.0,50.0,70,50.0,50.0,50.0,55,50,0.4801,9,Enter near $103.47; place stop around $99.86 (2×ATR); target about $108.88 (3×ATR); reassess after 9 days.,Enter near $103.47; place stop around $99.86 (2×ATR); target about $108.88 (3×ATR); reassess after 9 days.,103.47,99.86,108.88,9,"RSI 26 (oversold rebound); Price below 50-day trend; Golden cross bias (50d > 200d); 3M +7.2% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.7,,,0.228,"Double Bottom, Cup & Handle"
NOC,Northrop Grumman Corporation,Industrials,594.52001953125,BUY,66.41,85.0,60.0,58.0,70.0,50.0,74.0,42.2,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4611,9,Enter near $594.52; place stop around $575.50 (2×ATR); target about $623.04 (3×ATR); reassess after 9 days.,Enter near $594.52; place stop around $575.50 (2×ATR); target about $623.04 (3×ATR); reassess after 9 days.,594.52,575.5,623.04,9,"RSI 60; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +18.9% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 46%",2.0,"Double Bottom, Cup & Handle",0.69,,,0.164,"Double Bottom, Cup & Handle"
FITB,Fifth Third Bancorp,Financial Services,45.43000030517578,BUY,66.31,81.0,60.0,60.0,65.0,50.0,74.0,46.7,50,50.0,50.0,50.0,70,50.0,50.0,50.0,55,50,0.4833,10,Enter near $45.43; place stop around $43.82 (2×ATR); target about $47.84 (3×ATR); reassess after 10 days.,Enter near $45.43; place stop around $43.82 (2×ATR); target about $47.84 (3×ATR); reassess after 10 days.,45.43,43.82,47.84,10,"RSI 49; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +10.5% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.58,,,0.18,"Double Bottom, Cup & Handle"
PHM,"PulteGroup, Inc.",Consumer Cyclical,131.14999389648438,BUY,66.3,96.0,60.0,60.0,55.0,45.0,74.0,45.3,50,50.0,50.0,50.0,50,50.0,50.0,50.0,50,50,0.4765,8,Enter near $131.15; place stop around $123.32 (2×ATR); target about $142.89 (3×ATR); reassess after 8 days.,Enter near $131.15; place stop around $123.32 (2×ATR); target about $142.89 (3×ATR); reassess after 8 days.,131.15,123.32,142.89,8,"RSI 30 (oversold rebound); Price above 50-day trend; Golden cross bias (50d > 200d); 3M +24.4% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.52,,,0.301,"Double Bottom, Cup & Handle"
PTC,PTC Inc.,Technology,202.9600067138672,BUY,66.29,95.0,40.0,70.0,55.0,45.0,74.0,44.9,50,50.0,50.0,50.0,70,50.0,50.0,50.0,60,50,0.4746,7,Enter near $202.96; place stop around $195.52 (2×ATR); target about $214.13 (3×ATR); reassess after 7 days.,Enter near $202.96; place stop around $195.52 (2×ATR); target about $214.13 (3×ATR); reassess after 7 days.,202.96,195.52,214.13,7,"RSI 28 (oversold rebound); Price below 50-day trend; Golden cross bias (50d > 200d); 1M -5.6% pullback; 3M +17.8% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 47%",2.0,"Double Bottom, Cup & Handle",0.61,,,0.229,"Double Bottom, Cup & Handle"
VRSN,"VeriSign, Inc.",Technology,284.4200134277344,BUY,66.28,81.0,50.0,60.0,80.0,50.0,74.0,44.3,50,50.0,50.0,50.0,70,50.0,50.0,50.0,60,50,0.4717,9,Enter near $284.42; place stop around $274.78 (2×ATR); target about $298.88 (3×ATR); reassess after 9 days.,Enter near $284.42; place stop around $274.78 (2×ATR); target about $298.88 (3×ATR); reassess after 9 days.,284.42,274.78,298.88,9,"RSI 52; Price above 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Bottom, Cup & Handle; ML upside odds 47%",2.0,"Double Bottom, Cup & Handle",0.66,,,0.196,"Double Bottom, Cup & Handle"
ALLE,Allegion plc,Industrials,175.00999450683594,BUY,66.22,85.0,50.0,68.0,65.0,50.0,74.0,45.3,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4764,9,Enter near $175.01; place stop around $168.25 (2×ATR); target about $185.15 (3×ATR); reassess after 9 days.,Enter near $175.01; place stop around $168.25 (2×ATR); target about $185.15 (3×ATR); reassess after 9 days.,175.01,168.25,185.15,9,"RSI 54; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +21.4% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.67,,,0.212,"Double Bottom, Cup & Handle"
PNC,"PNC Financial Services Group, I",Financial Services,203.32000732421875,BUY,66.17,81.0,60.0,60.0,65.0,50.0,74.0,45.5,50,50.0,50.0,50.0,70,50.0,50.0,50.0,55,50,0.4774,10,Enter near $203.32; place stop around $196.80 (2×ATR); target about $213.10 (3×ATR); reassess after 10 days.,Enter near $203.32; place stop around $196.80 (2×ATR); target about $213.10 (3×ATR); reassess after 10 days.,203.32,196.8,213.1,10,"RSI 49; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +9.1% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.68,,,0.162,"Double Bottom, Cup & Handle"
RF,Regions Financial Corporation,Unknown,26.6299991607666,BUY,66.08,85.0,60.0,50.0,65.0,50.0,74.0,47.7,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4886,9,Enter near $26.63; place stop around $25.59 (2×ATR); target about $28.19 (3×ATR); reassess after 9 days.,Enter near $26.63; place stop around $25.59 (2×ATR); target about $28.19 (3×ATR); reassess after 9 days.,26.63,25.59,28.19,9,"RSI 44; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +13.2% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 49%",2.0,"Double Bottom, Cup & Handle",0.93,,,0.198,"Double Bottom, Cup & Handle"
CDNS,"Cadence Design Systems, Inc.",Technology,350.1099853515625,BUY,66.08,85.0,40.0,78.0,55.0,50.0,74.0,56.6,50,50.0,50.0,50.0,50,50.0,50.0,50.0,60,50,0.5329,8,Enter near $350.11; place stop around $326.44 (2×ATR); target about $385.62 (3×ATR); reassess after 8 days.,Enter near $350.11; place stop around $326.44 (2×ATR); target about $385.62 (3×ATR); reassess after 8 days.,350.11,326.44,385.62,8,"RSI 45; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +13.6% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 53%",2.0,"Double Bottom, Cup & Handle",0.66,,,0.387,"Double Bottom, Cup & Handle"
MMM,3M Company,Industrials,152.80999755859375,BUY,66.07,72.0,60.0,68.0,75.0,50.0,74.0,47.2,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4858,9,Enter near $152.81; place stop around $146.06 (2×ATR); target about $162.94 (3×ATR); reassess after 9 days.,Enter near $152.81; place stop around $146.06 (2×ATR); target about $162.94 (3×ATR); reassess after 9 days.,152.81,146.06,162.94,9,"RSI 47; Price below 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Bottom, Cup & Handle; ML upside odds 49%",2.0,"Double Bottom, Cup & Handle",0.74,,,0.22,"Double Bottom, Cup & Handle"
GL,Globe Life Inc.,Financial Services,144.55999755859375,BUY,66.06,70.0,60.0,68.0,80.0,50.0,74.0,45.2,50,50.0,50.0,50.0,70,50.0,50.0,50.0,55,50,0.4758,9,Enter near $144.56; place stop around $139.54 (2×ATR); target about $152.10 (3×ATR); reassess after 9 days.,Enter near $144.56; place stop around $139.54 (2×ATR); target about $152.10 (3×ATR); reassess after 9 days.,144.56,139.54,152.1,9,"RSI 62; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +16.3% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.84,,,0.199,"Double Bottom, Cup & Handle"
SCHW,Charles Schwab Corporation (The,Financial Services,95.45999908447266,BUY,65.92,76.0,50.0,70.0,75.0,50.0,74.0,45.9,50,50.0,50.0,50.0,70,50.0,50.0,50.0,55,50,0.4795,9,Enter near $95.46; place stop around $91.67 (2×ATR); target about $101.15 (3×ATR); reassess after 9 days.,Enter near $95.46; place stop around $91.67 (2×ATR); target about $101.15 (3×ATR); reassess after 9 days.,95.46,91.67,101.15,9,"RSI 57; Price below 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.51,,,0.246,"Double Bottom, Cup & Handle"
BX,Blackstone Inc.,Financial Services,175.32000732421875,BUY,65.9,85.0,46.0,78.0,59.0,45.0,74.0,52.4,50,50.0,50.0,50.0,50,50.0,50.0,50.0,55,50,0.5119,9,Enter near $175.32; place stop around $165.65 (2×ATR); target about $189.83 (3×ATR); reassess after 9 days.,Enter near $175.32; place stop around $165.65 (2×ATR); target about $189.83 (3×ATR); reassess after 9 days.,175.32,165.65,189.83,9,"RSI 53; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +17.2% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 51%",2.0,"Double Bottom, Cup & Handle",0.58,,,0.278,"Double Bottom, Cup & Handle"
SYY,Sysco Corporation,Consumer Defensive,81.94000244140625,BUY,65.89,77.0,60.0,58.0,75.0,50.0,74.0,45.7,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4783,10,Enter near $81.94; place stop around $79.27 (2×ATR); target about $85.94 (3×ATR); reassess after 10 days.,Enter near $81.94; place stop around $79.27 (2×ATR); target about $85.94 (3×ATR); reassess after 10 days.,81.94,79.27,85.94,10,"RSI 52; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +8.2% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.99,,,0.178,"Double Bottom, Cup & Handle"
TRV,"The Travelers Companies, Inc.",Financial Services,277.760009765625,BUY,65.86,77.0,60.0,58.0,80.0,45.0,74.0,43.8,50,50.0,50.0,50.0,70,50.0,50.0,50.0,55,50,0.4689,10,Enter near $277.76; place stop around $269.16 (2×ATR); target about $290.66 (3×ATR); reassess after 10 days.,Enter near $277.76; place stop around $269.16 (2×ATR); target about $290.66 (3×ATR); reassess after 10 days.,277.76,269.16,290.66,10,"RSI 55; Price above 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Bottom, Cup & Handle; ML upside odds 47%",2.0,"Double Bottom, Cup & Handle",0.68,,,0.169,"Double Bottom, Cup & Handle"
MPWR,"Monolithic Power Systems, Inc.",Technology,887.5499877929688,BUY,65.68,81.0,50.0,78.0,45.0,45.0,74.0,59.0,50,50.0,50.0,50.0,50,50.0,50.0,50.0,60,50,0.5448,8,Enter near $887.55; place stop around $836.45 (2×ATR); target about $964.21 (3×ATR); reassess after 8 days.,Enter near $887.55; place stop around $836.45 (2×ATR); target about $964.21 (3×ATR); reassess after 8 days.,887.55,836.45,964.21,8,"RSI 57; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +21.4% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 54%",2.0,"Double Bottom, Cup & Handle",0.61,,,0.323,"Double Bottom, Cup & Handle"
FAST,Fastenal Company,Industrials,48.70000076293945,BUY,65.59,85.0,40.0,68.0,75.0,50.0,74.0,42.5,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4624,9,Enter near $48.70; place stop around $46.85 (2×ATR); target about $51.47 (3×ATR); reassess after 9 days.,Enter near $48.70; place stop around $46.85 (2×ATR); target about $51.47 (3×ATR); reassess after 9 days.,48.7,46.85,51.47,9,"RSI 55; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +16.0% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 46%",2.0,"Double Bottom, Cup & Handle",0.81,,,0.206,"Double Bottom, Cup & Handle"
EW,Edwards Lifesciences Corporatio,Healthcare,76.25,BUY,65.58,87.0,50.0,60.0,75.0,55.0,50.0,43.8,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.469,9,Enter near $76.25; place stop around $73.00 (2×ATR); target about $81.12 (3×ATR); reassess after 9 days.,Enter near $76.25; place stop around $73.00 (2×ATR); target about $81.12 (3×ATR); reassess after 9 days.,76.25,73.0,81.12,9,"RSI 28 (oversold rebound); Price below 50-day trend; Golden cross bias (50d > 200d); 1M -6.1% pullback; Patterns: Double Top, Cup & Handle; ML upside odds 47%",2.0,"Double Top, Cup & Handle",1.01,,,0.169,"Double Top, Cup & Handle"
MA,Mastercard Incorporated,Financial Services,565.1300048828125,BUY,65.57,72.0,56.0,78.0,75.0,50.0,50.0,48.0,50,50.0,50.0,50.0,70,50.0,50.0,50.0,55,50,0.49,10,Enter near $565.13; place stop around $545.19 (2×ATR); target about $595.04 (3×ATR); reassess after 10 days.,Enter near $565.13; place stop around $545.19 (2×ATR); target about $595.04 (3×ATR); reassess after 10 days.,565.13,545.19,595.04,10,"RSI 36; Price below 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Top, Cup & Handle; ML upside odds 49%",2.0,"Double Top, Cup & Handle",0.78,,,0.179,"Double Top, Cup & Handle"
UBER,"Uber Technologies, Inc.",Unknown,98.44999694824219,BUY,65.49,81.0,66.0,50.0,65.0,50.0,74.0,51.5,50,50.0,50.0,50.0,50,50.0,50.0,50.0,50,50,0.5075,9,Enter near $98.45; place stop around $92.68 (2×ATR); target about $107.10 (3×ATR); reassess after 9 days.,Enter near $98.45; place stop around $92.68 (2×ATR); target about $107.10 (3×ATR); reassess after 9 days.,98.45,92.68,107.1,9,"RSI 59; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +5.5% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 51%",2.0,"Double Bottom, Cup & Handle",0.55,,,0.316,"Double Bottom, Cup & Handle"
GOOGL,Alphabet Inc.,Communication Services,246.5399932861328,BUY,65.49,74.0,56.0,78.0,65.0,50.0,74.0,50.5,50,50.0,50.0,50.0,50,50.0,50.0,50.0,50,50,0.5025,21,Enter near $246.54; place stop around $235.74 (2×ATR); target about $262.74 (3×ATR); reassess after 21 days.,Enter near $246.54; place stop around $235.74 (2×ATR); target about $262.74 (3×ATR); reassess after 21 days.,246.54,235.74,262.74,21,"RSI 68 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 1M +16.5% momentum; 3M +39.9% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 50%",2.0,"Double Bottom, Cup & Handle",0.46,,,0.295,"Double Bottom, Cup & Handle"
CSCO,"Cisco Systems, Inc.",Technology,67.22000122070312,BUY,65.47,76.0,56.0,68.0,75.0,50.0,50.0,46.9,50,50.0,50.0,50.0,70,50.0,50.0,50.0,60,50,0.4844,9,Enter near $67.22; place stop around $64.93 (2×ATR); target about $70.66 (3×ATR); reassess after 9 days.,Enter near $67.22; place stop around $64.93 (2×ATR); target about $70.66 (3×ATR); reassess after 9 days.,67.22,64.93,70.66,9,"RSI 52; Price below 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Top, Cup & Handle; ML upside odds 48%",2.0,"Double Top, Cup & Handle",0.8,,,0.176,"Double Top, Cup & Handle"
GOOG,Alphabet Inc.,Communication Services,247.17999267578125,BUY,65.47,74.0,56.0,78.0,65.0,50.0,74.0,50.3,50,50.0,50.0,50.0,50,50.0,50.0,50.0,50,50,0.5015,21,Enter near $247.18; place stop around $236.48 (2×ATR); target about $263.23 (3×ATR); reassess after 21 days.,Enter near $247.18; place stop around $236.48 (2×ATR); target about $263.23 (3×ATR); reassess after 21 days.,247.18,236.48,263.23,21,"RSI 69 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 1M +16.4% momentum; 3M +39.3% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 50%",2.0,"Double Bottom, Cup & Handle",0.65,,,0.29,"Double Bottom, Cup & Handle"
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,106.0999984741211,BUY,65.46,85.0,50.0,50.0,80.0,50.0,74.0,42.1,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4607,10,Enter near $106.10; place stop around $102.11 (2×ATR); target about $112.08 (3×ATR); reassess after 10 days.,Enter near $106.10; place stop around $102.11 (2×ATR); target about $112.08 (3×ATR); reassess after 10 days.,106.1,102.11,112.08,10,"RSI 49; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +17.7% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 46%",2.0,"Double Bottom, Cup & Handle",0.7,,,0.164,"Double Bottom, Cup & Handle"
NFLX,"Netflix, Inc.",Communication Services,1210.6099853515625,BUY,65.42,81.0,46.0,78.0,69.0,50.0,50.0,48.2,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4911,9,Enter near $1210.61; place stop around $1158.79 (2×ATR); target about $1288.34 (3×ATR); reassess after 9 days.,Enter near $1210.61; place stop around $1158.79 (2×ATR); target about $1288.34 (3×ATR); reassess after 9 days.,1210.61,1158.79,1288.34,9,"RSI 42; Price above 50-day trend; Golden cross bias (50d > 200d); 3M -9.6% pullback; Patterns: Double Top, Cup & Handle; ML upside odds 49%",2.0,"Double Top, Cup & Handle",0.67,,,0.227,"Double Top, Cup & Handle"
ABT,Abbott Laboratories,Unknown,133.5500030517578,BUY,65.37,77.0,66.0,50.0,75.0,50.0,62.0,46.6,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4832,9,Enter near $133.55; place stop around $128.16 (2×ATR); target about $141.63 (3×ATR); reassess after 9 days.,Enter near $133.55; place stop around $128.16 (2×ATR); target about $141.63 (3×ATR); reassess after 9 days.,133.55,128.16,141.63,9,RSI 54; Price above 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Bottom; ML upside odds 48%,2.0,Double Bottom,0.78,,,0.181,Double Bottom
USB,U.S. Bancorp,Unknown,49.439998626708984,BUY,65.32,81.0,60.0,50.0,65.0,50.0,74.0,46.7,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4836,10,Enter near $49.44; place stop around $47.62 (2×ATR); target about $52.17 (3×ATR); reassess after 10 days.,Enter near $49.44; place stop around $47.62 (2×ATR); target about $52.17 (3×ATR); reassess after 10 days.,49.44,47.62,52.17,10,"RSI 57; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +9.3% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.83,,,0.19,"Double Bottom, Cup & Handle"
TSLA,"Tesla, Inc.",Unknown,440.3999938964844,BUY,65.3,64.0,46.0,50.0,45.0,55.0,74.0,55.2,50,50.0,95.8,50.0,50,50.0,65.0,82.5,50,70,0.5258,8,Enter near $440.40; place stop around $404.11 (2×ATR); target about $494.84 (3×ATR); reassess after 8 days.,Enter near $440.40; place stop around $404.11 (2×ATR); target about $494.84 (3×ATR); reassess after 8 days.,440.4,404.11,494.84,8,"RSI 78 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 1M +27.3% momentum; 3M +38.6% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 53%",2.0,"Double Bottom, Cup & Handle",1.07,,,0.483,"Double Bottom, Cup & Handle"
KEY,KeyCorp,Financial Services,18.889999389648438,BUY,65.29,81.0,50.0,60.0,65.0,50.0,74.0,46.5,50,50.0,50.0,50.0,70,50.0,50.0,50.0,55,50,0.4823,9,Enter near $18.89; place stop around $18.15 (2×ATR); target about $19.99 (3×ATR); reassess after 9 days.,Enter near $18.89; place stop around $18.15 (2×ATR); target about $19.99 (3×ATR); reassess after 9 days.,18.89,18.15,19.99,9,"RSI 43; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +8.4% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.75,,,0.191,"Double Bottom, Cup & Handle"
